schi	id	hex	url	extra
婴儿床	004F	0	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_0_0.png	
婴儿床	004F	1	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_1_0.png	
婴儿床	004F	2	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_2_0.png	
婴儿床	004F	3	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_3_0.png	
婴儿床	004F	4	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_4_0.png	
婴儿床	004F	5	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_5_0.png	
婴儿床	004F	6	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_6_0.png	
婴儿床	004F	7	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_7_0.png	
婴儿床	004F	32	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_0_1.png	
婴儿床	004F	33	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_1_1.png	
婴儿床	004F	34	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_2_1.png	
婴儿床	004F	35	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_3_1.png	
婴儿床	004F	36	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_4_1.png	
婴儿床	004F	37	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_5_1.png	
婴儿床	004F	38	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_6_1.png	
婴儿床	004F	39	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_7_1.png	
婴儿床	004F	64	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_0_2.png	
婴儿床	004F	65	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_1_2.png	
婴儿床	004F	66	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_2_2.png	
婴儿床	004F	67	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_3_2.png	
婴儿床	004F	68	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_4_2.png	
婴儿床	004F	69	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_5_2.png	
婴儿床	004F	70	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_6_2.png	
婴儿床	004F	71	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_7_2.png	
婴儿床	004F	96	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_0_3.png	
婴儿床	004F	97	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_1_3.png	
婴儿床	004F	98	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_2_3.png	
婴儿床	004F	99	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_3_3.png	
婴儿床	004F	100	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_4_3.png	
婴儿床	004F	101	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_5_3.png	
婴儿床	004F	102	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_6_3.png	
婴儿床	004F	103	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_7_3.png	
婴儿床	004F	128	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_0_4.png	
婴儿床	004F	129	https://acnhcdn.com/latest/FtrIcon/FtrBabybed_Remake_1_4.png	
